jugador,pases_dados,pases_recibidos,total_participacion,conexiones_salida,conexiones_entrada
John Stones,278,269,547,19,18
Luke Shaw,224,210,434,15,16
Harry Maguire,211,203,414,16,15
Declan Rice,193,168,361,17,15
Jude Bellingham,174,170,344,19,19
Kieran Trippier,165,135,300,16,13
Jordan Pickford,68,64,132,9,13
Mason Mount,59,69,128,11,10
Jordan Brian Henderson,59,63,122,16,12
Marcus Rashford,40,61,101,11,14
Phil Foden,44,56,100,12,14
Bukayo Saka,42,58,100,8,10
Raheem Sterling,43,54,97,9,9
Jack Grealish,42,50,92,12,13
Harry Kane,33,58,91,11,13
Kyle Walker,50,40,90,10,8
Eric Dier,29,25,54,7,7
Trent Alexander-Arnold,21,17,38,8,6
Kalvin Phillips,15,14,29,8,7
Callum Wilson,9,15,24,6,8
