oponente,jugador,pases_dados,pases_recibidos,total_participacion,conexiones_salida,conexiones_entrada
Iran,John Stones,117,112,229,14,11
Iran,Luke Shaw,104,97,201,13,11
Iran,Jude Bellingham,94,86,180,15,13
Iran,Declan Rice,92,85,177,14,12
Iran,Kieran Trippier,84,74,158,11,11
Iran,Harry Maguire,64,57,121,9,7
Iran,Mason Mount,32,35,67,10,8
Iran,Raheem Sterling,25,33,58,8,9
Iran,Eric Dier,29,25,54,7,7
Iran,Bukayo Saka,22,31,53,8,8
Iran,Jack Grealish,19,22,41,6,7
Iran,Jordan Pickford,18,23,41,6,8
Iran,Marcus Rashford,15,24,39,6,9
Iran,Phil Foden,17,22,39,6,9
Iran,Harry Kane,10,16,26,6,8
Iran,Callum Wilson,4,4,8,3,4
United States,John Stones,86,85,171,10,8
United States,Harry Maguire,70,64,134,12,10
United States,Luke Shaw,69,62,131,11,11
United States,Kieran Trippier,64,51,115,10,10
United States,Declan Rice,56,47,103,10,9
United States,Jude Bellingham,33,36,69,9,10
United States,Mason Mount,27,34,61,10,9
United States,Bukayo Saka,20,27,47,6,10
United States,Harry Kane,16,29,45,8,10
United States,Raheem Sterling,18,21,39,7,7
United States,Jordan Pickford,21,16,37,6,6
United States,Jack Grealish,9,14,23,6,5
United States,Jordan Brian Henderson,9,11,20,6,5
United States,Marcus Rashford,2,3,5,2,3
Wales,Harry Maguire,77,82,159,12,13
Wales,John Stones,75,72,147,13,10
Wales,Jordan Brian Henderson,50,52,102,14,12
Wales,Luke Shaw,51,51,102,8,7
Wales,Jude Bellingham,47,48,95,14,14
Wales,Kyle Walker,50,40,90,10,8
Wales,Declan Rice,45,36,81,9,9
Wales,Phil Foden,27,34,61,9,11
Wales,Marcus Rashford,23,34,57,7,11
Wales,Jordan Pickford,29,25,54,4,7
Wales,Trent Alexander-Arnold,21,17,38,8,6
Wales,Kalvin Phillips,15,14,29,8,7
Wales,Jack Grealish,14,14,28,6,6
Wales,Kieran Trippier,17,10,27,7,5
Wales,Harry Kane,7,13,20,4,5
Wales,Callum Wilson,5,11,16,5,7
